comment,text_clean,sentiment,sentiment_score
nama nya juga upaya memajukan usaha lokal dan usaha penyerapan jumlah pengangguran 👀,nama nya upaya memajukan usaha lokal usaha penyerapan jumlah pengangguran,Netral,0.8982
"Kirain konsep KOPDES bakalan menyediakan mesin traktor / alat” pertanian , bibit , Pupuk dll . Yg sekiranya lebih di butuhkan oleh masyarakat terutama di pedesaan",kirain konsep kopdes bakalan menyediakan mesin traktor alat pertanian bibit pupuk yg sekiranya lebih butuhkan masyarakat terutama pedesaan,Netral,0.589
sinau sek om 😭,sinau sek om,Negatif,0.9797
oleh ngutang ORA kui son,ngutang ora kui son,Negatif,0.9929
HARI INI DIRESMIKAN DIBUKA TAPI BESUK TUTUP SELAMANYA,hari diresmikan dibuka besuk tutup selamanya,Netral,0.7426
Hidup Alfamart dan Indomaret 🥰,hidup alfamart indomaret,Netral,0.8338
"kenapa ya gak beli di perusahaan nya langsung bisa,kenapa harus beli di inmart kan harganya jadi mehong kali ya",gak beli perusahaan nya langsung beli inmart kan harganya jadi mehong kali,Negatif,0.9943
ini yg buat semua anggaran di pangkas sampai jalan tak di benarin,yg buat semua anggaran pangkas jalan tak benarin,Negatif,0.973
Itu kalo di Indomaret udah di kasih kata kata “ ini jualan produk atau jualan rak besi “,kalo indomaret udah kasih kata kata jualan produk jualan rak besi,Netral,0.9946
masuk jalur apa ni 😂,masuk jalur apa ni,Negatif,0.9212
Harusnya ente paham berapa tenaga kerja yang sudah bekerja di Indomaret dan Alfamart dan KMP itu seharusnya bukan toko jualan grosir. tapi untuk produktifitas petani dan nelayan,harusnya ente paham berapa tenaga kerja bekerja indomaret alfamart kmp bukan toko jualan grosir produktifitas petani nelayan,Netral,0.7095
"wow anggaran hampir 2m, tapi display kosong sekali 😂",wow anggaran hampir display kosong sekali,Negatif,0.9966
gilak,gilak,Negatif,0.9644
kata adekku anggaran 1.8/ 1.9M tp turun cuma 900jt. bocor kayaknya kresek duitnya😭,kata adekku anggaran tp turun cuma jt bocor kayaknya kresek duitnya,Negatif,0.9908
mending 212 mart,mending mart,Negatif,0.7217
agak agak nih lama lama disitu banyk yg kerja cari nafkah,nih lama lama disitu banyk yg kerja cari nafkah,Negatif,0.9907
"Iya haha baik kopdes maupun mbg gitu semua, aku coba nanya katanya udah ga buka loker",iya haha baik kopdes maupun mbg gitu semua aku coba nanya katanya udah ga buka loker,Netral,0.9148
Duh gereget displaynya gitu😭,duh gereget displaynya gitu,Negatif,0.7086
presidenya pulang lsg ganti harga🤩😁,presidenya pulang lsg ganti harga,Negatif,0.9334
Copid po kok jaga jarak,copid po kok jaga jarak,Negatif,0.9793
kamera geter tandanya 🙏,kamera geter tandanya,Negatif,0.9888
"pola pikirnya gimana, ingin membuka lapangan kerja apa menambah pengangguran?",pola pikirnya gimana membuka lapangan kerja apa menambah pengangguran,Negatif,0.9654
info harga lpg3kg nya kopdes dong,info harga lpgkg nya kopdes dong,Netral,0.9945
Tidak selengkap alfa dong🫣,selengkap alfa dong,Netral,0.9413
koprasi desa harus menjaga keselamatan sembako yg sering dipermainkan tengkulak. cabe bawang sering harganya dimain2kan. tolong slmatkan pangan bangsa,koprasi desa menjaga keselamatan sembako yg sering dipermainkan tengkulak cabe bawang sering harganya dimainkan slmatkan pangan bangsa,Positif,0.5903
carang😭,carang,Negatif,0.5344
"ya itu buka pas pak prabowo mau kunjungan aja deh... 😭 lah seleksi manajer kop merah putih aja masih jalan loh, gapaham aku kok tbtb buka aja.. 😭",buka pas pak prabowo mau kunjungan aja deh lah seleksi manajer kop merah putih aja jalan loh gapaham aku kok tbtb buka aja,Netral,0.5024
"gue kira koperasi itu selama ini bentuknya simpan pinjam, ternyata jualan 😭. Jadi buku pelajaran itu salah ya 😭🙏",gue kira koperasi selama bentuknya simpan pinjam ternyata jualan jadi buku pelajaran salah,Negatif,0.852
PROYEK,proyek,Positif,0.4042
"garapane koprasi negoro malah koyo ngene,sek apik toko meduro 🤣🤣",garapane koprasi negoro malah koyo ngene sek apik toko meduro,Negatif,0.9299
bnyk untung nnti biar bnyk dikorup hahaha,bnyk untung nnti biar bnyk dikorup hahaha,Positif,0.9751
prettt,prettt,Negatif,0.9881
Klw untuk penguruh bawah di sektor desa ya 3jt an,klw penguruh bawah sektor desa jt an,Netral,0.9804
"tp didesa sebelah q yg beli harus partai besar misal beli telur sekilo ndk dilayani, yg dilayani cuman beli telur minimal 5kg😂😂😂😂😂kaya mau bersaing jd. suplayer, tp rata"" toko"" besar disini langsung dikirim dr sales pabrik, kecuali toko kecil"" paling belanjanya ngk banyak kadang kepasar😭😭",tp didesa sebelah yg beli partai besar misal beli telur sekilo ndk dilayani yg dilayani cuman beli telur minimal kg kaya mau bersaing jd suplayer tp rata toko besar disini langsung dikirim dr sales pabrik toko kecil paling belanjanya ngk banyak kadang kepasar,Positif,0.68
Ordal 😁,ordal,Negatif,0.5915
barangnya diambil dr gudang Alfa sebelum wowo dateng.,barangnya diambil dr gudang alfa wowo dateng,Netral,0.996
mbok jangan dipaksakan to pak2..,mbok jangan dipaksakan to pak,Negatif,0.9812
Padahal masalahnya aslinya barangnya cuma datang sedikit dan dipaksa rak harus penuh semua😂,padahal masalahnya aslinya barangnya cuma datang sedikit dipaksa rak penuh semua,Negatif,0.9936
takut bgt mau daftar diKDMP dibenci warga setik tok soalnya🥺😭,takut bgt mau daftar dikdmp dibenci warga setik tok soalnya,Negatif,0.998
"iyah bener bnget, masa iya di klontong samarinda 35 rata""",iyah bener bnget masa iya klontong samarinda rata,Positif,0.9796
ambil langsung dari gudang utama nya langsung....😂😂sales sales mulai cari strategi lain lagi,ambil langsung gudang utama nya langsung sales sales mulai cari strategi,Netral,0.9906
Ada aja celah buat di julid in 😂 tinggal di surga sana,aja celah buat julid in tinggal surga sana,Negatif,0.9409
Selesai gak selesai kumpulkan,selesai gak selesai kumpulkan,Negatif,0.9867
alfa mart dan indomart byk discount buat rakyat ...,alfa mart indomart byk discount buat rakyat,Netral,0.7612
faktanya: diisi barang barang upf 😂,faktanya diisi barang barang upf,Netral,0.9742
Sepi Amatttt,sepi amatttt,Negatif,0.9978
aduh udah puyeng duluan,aduh udah puyeng duluan,Negatif,0.9974
Bukan bentuk minimarket tapi mirip sesuatu tapi lupa,bukan bentuk minimarket mirip lupa,Negatif,0.9865
yang sabar kak,sabar kak,Positif,0.9862
ladang korupsi,ladang korupsi,Negatif,0.9973
betulll,betulll,Positif,0.9911
supermarket simulator,supermarket simulator,Netral,0.8015
minimal terisi semua Bru di resmikan 😂,minimal terisi semua bru resmikan,Netral,0.9941
"KALO PUNYA PENYAKIT HATI, YA GINI MODELAN NYA 😂😂😂",kalo punya penyakit hati gini modelan nya,Negatif,0.8996
[Sticker] mnding indom-,sticker mnding indom,Netral,0.7128
gw aja pangkalan dapat harga dari pertamina 16rb jual 19rb sesuai het anjuran dari pemerintah.pembeli wajib ktp umkm wajib pake nib.lah skr koperasi bentukan pemerintah jual 16rb.kalo begitu buat apa ada agen dan pangkalan.kacau prabowo,gw aja pangkalan harga pertamina rb jual rb sesuai het anjuran pemerintah pembeli wajib ktp umkm wajib pake nib lah skr koperasi bentukan pemerintah jual rb kalo buat apa agen pangkalan kacau prabowo,Negatif,0.9921
display model upacara banser,display model upacara banser,Netral,0.9955
kok kaya mau bangkrut kak,kok kaya mau bangkrut kak,Negatif,0.998
tetep pilih Indomaret,tetep pilih indomaret,Positif,0.9022
Tempat susu disatuin sama sama terigu ya ampun 😭😭😭😭😭,tempat susu disatuin sama sama terigu ampun,Negatif,0.9302
gak menarik dan gak tertarik 😂,gak menarik gak tertarik,Negatif,0.9977
"mending beli diwarung tetangga kasih rejeki buat tetangga karena kita hidup kalau ada apa"" sama tetangga duluu kalau yang ini yang punya pengusaha orang kaya",mending beli diwarung tetangga kasih rejeki buat tetangga hidup kalau apa sama tetangga duluu kalau punya pengusaha orang kaya,Negatif,0.9375
itu gas 16 rb ga ad isi nya,gas rb ga ad isi nya,Negatif,0.9151
"kupikir koperasi merah putih
menampung segala hasil tani , ternak , nelayan dan umkm ternyata macam supermarket biasa yang di isi brand besar 😁",kupikir koperasi merah putih menampung segala hasil tani ternak nelayan umkm ternyata macam supermarket biasa isi brand besar,Netral,0.8498
😂😂😂😂 sungguh repot...sembako mahal teriak2....sembako di bikin murah juga berisik😅😅😅😅,sungguh repot sembako mahal teriak sembako bikin murah berisik,Negatif,0.9974
"jgn terlalu jujur, karena jujurmu menyakitkan😁",jgn terlalu jujur jujurmu menyakitkan,Negatif,0.9977
wus jos kronyos koyo sate jos..,wus jos kronyos koyo sate jos,Positif,0.9847
"apa yg bisa di harapkan kak?😌 seperti kurikulum pendidikan, tiap menteri ganti, bukan memperbaiki kurikulum yg sebelumnya ,tapi malah buat baru ,dan akhirnya apa?? yg di bikin pusing siapa lagi kalau bukan rakyat, mereka mah enak tinggal bikin program, terus di realisasikan, tapi belum tentu mikirin gimana rakyat ,respon yg mgejalaninya",apa yg harapkan kak kurikulum pendidikan tiap menteri ganti bukan memperbaiki kurikulum yg sebelumnya malah buat baru akhirnya apa yg bikin pusing siapa kalau bukan rakyat mah enak tinggal bikin program terus realisasikan mikirin gimana rakyat respon yg mgejalaninya,Negatif,0.8875
real family mart☺️🙏,real family mart,Netral,0.5491
wis pokoke aturen 😂,wis pokoke aturen,Negatif,0.7439
lebih mirip ke minimarket tapi harus jelas management dan konsepnya hadeh,lebih mirip minimarket jelas management konsepnya hadeh,Negatif,0.6387
Awas pelayanan dan harga brsaing harus lbh super dari ALFA dan INDO kalau tdk akan runtuh dg sendirinya ..,awas pelayanan harga brsaing lbh super alfa indo kalau tdk runtuh dg sendirinya,Positif,0.9697
ladang korupsi,ladang korupsi,Negatif,0.9973
Dari petani login ritel,petani login ritel,Netral,0.9958
penting penuh ini mah😭,penting penuh mah,Positif,0.9512
aura ordal nya kuat bgt,aura ordal nya kuat bgt,Positif,0.996
"kayak awal-awal karir gue di supermarket simulator deh, barangnya dikit bangeeeet",kayak awal awal karir gue supermarket simulator deh barangnya dikit bangeeeet,Positif,0.6823
LICIIKKKKK,liciikkkkk,Positif,0.9696
ijo kabeh ? NU-mart ta iki 😳,ijo kabeh nu mart ta iki,Negatif,0.9887
emang koperasinya buka 24 kya indomart,emang koperasinya buka kya indomart,Netral,0.9475
petani selalu dirugikan,petani selalu dirugikan,Negatif,0.9973
koprasi... gak jelas ini 😇😇😇,koprasi gak jelas,Negatif,0.9975
sosial distancing?,sosial distancing,Negatif,0.9585
16rb syaratnya banyak sepertinya😁,rb syaratnya banyak sepertinya,Netral,0.9707
SENANG MENDENGARNYA!!TERIMAKASIH YAA ALLAH ENGKAU MENGABULKAN DOA DOA KAMI,senang mendengarnya terimakasih yaa allah engkau mengabulkan doa doa,Positif,0.9839
sampek sekarang saya masih gk ngerti konsepnya...,sampek sekarang gk ngerti konsepnya,Negatif,0.9976
stok opname,stok opname,Negatif,0.9602
"pak presiden bukan nya bantuin UMKM,tapi mau jatuhin pedagang kecil iya sih harga bersahabat,tapi pikir rakyat rakyat kecil yang usahanya lagi berjuang buat bayar pajak dll,gak habis pikir pola pikir nya pak Wowo,UMKM ngambil dikoprasi sedangan koprasi gas melon 16.000 trus UMKM jual brapa 17.000 18.000 pasti yang beli mikirnya apa mending yang 16.000 hadehhh gak tau lah NKRI aneh",pak presiden bukan nya bantuin umkm mau jatuhin pedagang kecil iya sih harga bersahabat pikir rakyat rakyat kecil usahanya berjuang buat bayar pajak gak habis pikir pola pikir nya pak wowo umkm ngambil dikoprasi sedangan koprasi gas melon trus umkm jual brapa beli mikirnya apa mending hadehhh gak tau lah nkri aneh,Negatif,0.9924
ini koperasi di desa untuk memperluas dan mempermudah cabang indomaret,koperasi desa memperluas mempermudah cabang indomaret,Netral,0.996
"ini mah jelek bgt tata letaknya jg jir, masa se rak isinya itu semua hell no.",mah jelek bgt tata letaknya jg jir masa se rak isinya semua hell no,Negatif,0.9981
yg diuntungkan aparat desa😅,yg diuntungkan aparat desa,Positif,0.7753
[Sticker] silimit ditingggg,sticker silimit ditingggg,Negatif,0.8358
Njir dikasih jarak2 biar keliatan banyak 😂😂😂,njir dikasih jarak biar keliatan banyak,Negatif,0.8838
ordal ordalnya kakak🤣🙏🏻,ordal ordalnya kakak,Netral,0.7157
Prabowo hadir buat memiskinkan rakyat nya👍🤣,prabowo hadir buat memiskinkan rakyat nya,Negatif,0.9966
HAHAHAHA sungguh kolom comment sangat menghibur😭,hahahaha sungguh kolom comment sangat menghibur,Positif,0.9885
"ngakak gua liat display nya , gedung sebesar ini , barang cuma seuprit",ngakak gua liat display nya gedung sebesar barang cuma seuprit,Negatif,0.9911
Mahal jualan sembako😂,mahal jualan sembako,Negatif,0.996
satu rak isi nya sama semua,satu rak isi nya sama semua,Netral,0.8009
itumah bisnis lama2 juga bangkrut di korupsi...,itumah bisnis lama bangkrut korupsi,Negatif,0.9981
Miris sih ko jadi saingan bgni ya,miris sih ko jadi saingan bgni,Negatif,0.9979
[Sticker] ,sticker,Positif,0.6144
"Programnya Bagus, tapi Realita di lapangan sangat Buruk",programnya bagus realita lapangan sangat buruk,Negatif,0.998
"kita kamu aja kali, kalo aku mah bangga sebangga bangga nya",kamu aja kali kalo aku mah bangga sebangga bangga nya,Positif,0.9889
asal Deket sama lurah dan perangkat desa sama aktif jadi anggota Kader / PKK pun bisa aja kak🤭,asal deket sama lurah perangkat desa sama aktif jadi anggota kader pkk aja kak,Netral,0.9451
lha barang e gemlondang ngene cik😭,lha barang gemlondang ngene cik,Negatif,0.9904
tidak menarik sama sekali,menarik sama sekali,Positif,0.9938
di kasih pinjam dulu buat orang pada belanja biar uang turun merata,kasih pinjam dulu buat orang belanja biar uang turun merata,Netral,0.6336
"ngg usah pada beli ke kopdes, biarin aja bangkrut tu kopdes😭",ngg usah beli kopdes biarin aja bangkrut tu kopdes,Negatif,0.997
Padahal koperasi desa kalau dikelola bener bisa bantu warga loh,padahal koperasi desa kalau dikelola bener bantu warga loh,Positif,0.8314
buka gampang njalankannya bisa nggak tu,buka gampang njalankannya tu,Positif,0.7304
ga bakalan lama itu,ga bakalan lama,Positif,0.9901
kalo negara kaga ada yg kritik ya ancur blasssss aneh bgtt situ belajar kaga si,kalo negara kaga yg kritik ancur blasssss aneh bgtt situ belajar kaga si,Negatif,0.9973
kecap display satu doanh mau ldr apa cere itu😭🙏,kecap display satu doanh mau ldr apa cere,Negatif,0.555
2 bulan kemudian BANKRUT...,bulan kemudian bankrut,Netral,0.7647
iya di stop tapi kopdes kalo belanja bahan bakunya di pt indo marco 😅😂🙏,iya stop kopdes kalo belanja bahan bakunya pt indo marco,Netral,0.9573
emang ada yg mau beli ?,emang yg mau beli,Netral,0.8435
kan mau di tutup indo Maret....😂,kan mau tutup indo maret,Netral,0.5378
ini ancaman nganggur lagi kek nya,ancaman nganggur kek nya,Negatif,0.9965
"KMP gak lama berubah nama jadi gudang rongsokan...keren pak Wowo
ditengah laut mohon dibangun KMP pak
dikuburan udah
ditengah hutan udah
coba ditengah laut pak",kmp gak lama berubah nama jadi gudang rongsokan keren pak wowo ditengah laut mohon dibangun kmp pak dikuburan udah ditengah hutan udah coba ditengah laut pak,Negatif,0.6856
tunjukan 1 aja....menteri prabowo yg ngomongnya pass di dengar......1 ajh,tunjukan aja menteri prabowo yg ngomongnya pass dengar ajh,Negatif,0.68
kan di agen banyak permainan,kan agen banyak permainan,Positif,0.8263
Pajak kita semua,pajak semua,Negatif,0.955
MasyaAllah semoga lancar dan Saya doakan tuk pemerintahan Kinerja Pak President Prabowo selalu dimudahakan dan mrk semua diberikan kesehatan aamiin,masyaallah semoga lancar doakan tuk pemerintahan kinerja pak president prabowo selalu dimudahakan mrk semua diberikan kesehatan aamiin,Positif,0.9668
menguntungkan umkm unilever wingsfood indofood ot grup dan lainnya🥰,menguntungkan umkm unilever wingsfood indofood ot grup lainnya,Positif,0.769
giliran harga mahal salah lagi pemerintah 🤣 adanya kdmp itu untuk mengontrol harga pasar agar tidak ada oknum yg naikin harga tinggi banget 🙏,giliran harga mahal salah pemerintah adanya kdmp mengontrol harga pasar oknum yg naikin harga tinggi banget,Negatif,0.9972
Kenapa dananya pembangunan koperasi merah putih tidak di gunakan ke perbaikan jalan jalan di desa yang banyak berlubang lubang?,dananya pembangunan koperasi merah putih gunakan perbaikan jalan jalan desa banyak berlubang lubang,Netral,0.9284
"Ada pilihan sapi/kerbau, malah milih ular",pilihan sapi kerbau malah milih ular,Negatif,0.9921
Pasti nanti ada aturan “dilarang merekam didalam” 🤣,aturan dilarang merekam didalam,Netral,0.9195
[Sticker] ,sticker,Positif,0.6144
"nyaingin indomaret ❎
nyaingin warganya sendiri🗿✅",nyaingin indomaret nyaingin warganya sendiri,Negatif,0.9585
produk umkm nya mana,produk umkm nya mana,Negatif,0.8821
Curiga koperasi merah putih sbnrnya cuma money laundry,curiga koperasi merah putih sbnrnya cuma money laundry,Negatif,0.9563
"tanyakan ke daerahnya, itu tiap tahun dananya turun..
tanyakan tiap tahun apa aja progres yg udah di jalankan..
jgn lupa ada revitalisasi sekolah dari program pak prabowo..
karna miris tiap tahun anggaran APBD turun tapi sskolah"", jln"" banyak yg rusak gak ada revitalisasi sama sekali😏",tanyakan daerahnya tiap tahun dananya turun tanyakan tiap tahun apa aja progres yg udah jalankan jgn lupa revitalisasi sekolah program pak prabowo karna miris tiap tahun anggaran apbd turun sskolah jln banyak yg rusak gak revitalisasi sama sekali,Negatif,0.9802
sama game simulator gw barangnya lebih banyakan pny gw😭,sama game simulator gw barangnya lebih banyakan pny gw,Positif,0.8868
sosial distancing bgt ya,sosial distancing bgt,Negatif,0.9844
"KMP G.BAKALAN.MAJU 1000% SY
YAKIN ITU",kmp bakalan maju sy yakin,Positif,0.9472
aku ngak mau belanja di sana,aku ngak mau belanja sana,Negatif,0.9962
lagunya yg hebat 😁,lagunya yg hebat,Positif,0.9968
[Sticker] LDRAN,sticker ldran,Negatif,0.9814
"ada usulan baru dari anggota DPR dari fraksi gerindra, mau bikin 1000 bioskop desa 🤣",usulan baru anggota dpr fraksi gerindra mau bikin bioskop desa,Netral,0.997
itu harga GO kayagnya 😂😂😂,harga go kayagnya,Positif,0.9736
"lah desa aja sebenarnya pesimis, tapi kan dipaksa buat ya udahlah daripada daripada.
masalah kedepannya bodoamat,yang penting dah bikin😅😅😅😅",lah desa aja sebenarnya pesimis kan dipaksa buat udahlah masalah kedepannya bodoamat penting dah bikin,Negatif,0.9968
"di sini akubaru sadar ,ternyata rakyat kecil di laraang buka wsrung dan toko",sini akubaru sadar ternyata rakyat kecil laraang buka wsrung toko,Negatif,0.8527
coba kita lihat apakah akan bisa untung atau rugi besar,coba lihat untung rugi besar,Negatif,0.9788
mana produk umkm nya wok,mana produk umkm nya wok,Negatif,0.9458
disni mah bagus,disni mah bagus,Positif,0.9952
hhahah,hhahah,Positif,0.5148
lebih lengkap warung madura gak sih gess?☺️☺️,lebih lengkap warung madura gak sih gess,Positif,0.6774
Itu umumnya letaknya di mana,umumnya letaknya mana,Netral,0.7188
padahal kalau niat buat rakyat beli stok barangnya langsung ke pabrik saja biar bisa menekan harga jual. pemerintah sudah punya 1 langkah untuk bisa menerobos ke pabriknya langsung.,padahal kalau niat buat rakyat beli stok barangnya langsung pabrik biar menekan harga jual pemerintah punya langkah menerobos pabriknya langsung,Negatif,0.8959
barangnya lagi marahan kek nya🗿🗿,barangnya marahan kek nya,Negatif,0.9983
emng gd harga nya kok🤣,emng gd harga nya kok,Positif,0.9507
apaan sii kya gini mau nutup indomart sama alfamart .. anj ga sebanding,apaan sii kya gini mau nutup indomart sama alfamart anj ga sebanding,Negatif,0.9946
"kalo bangun tempat jangan asal bangun, tempatnya pada gak strategis",kalo bangun tempat jangan asal bangun tempatnya gak strategis,Negatif,0.9923
petani-pengepul-indomarco mungkin gitu siklus nya🙏,petani pengepul indomarco mungkin gitu siklus nya,Negatif,0.5077
itu ada muka ceo-nya kah di banner?,muka ceo nya banner,Negatif,0.9799
"kok ngatur, terserah kt lah mau beli dmn..",kok ngatur terserah kt lah mau beli dmn,Negatif,0.5795
"wk wk wk wk wk wk
😂🤣😂🤣😂🤣",wk wk wk wk wk wk,Netral,0.9504
"[Sticker] ""aduh, tokoku sepi. solusinya apa ya?""
""oh iya, aku kan punya kuasa. aku tutup aja toko orang""",sticker aduh tokoku sepi solusinya apa iya aku kan punya kuasa aku tutup aja toko orang,Negatif,0.9967
hokage ke 7 lebih baek😂,hokage lebih baek,Positif,0.9903
Ngga usah tutup mata lol itu emg ndak ada daftar harga 😭😭😭😭,ngga usah tutup mata lol emg ndak daftar harga,Negatif,0.6798
"belanja ga liat harga, tapi liat isi dompet..",belanja ga liat harga liat isi dompet,Negatif,0.9935
displayne ldr bjir😭,displayne ldr bjir,Negatif,0.7005
"ayo bersaing dengan sehat saja, pikirin yg kerja disitu",ayo bersaing sehat pikirin yg kerja disitu,Negatif,0.9702
dari pada buat koprasi mending jalan” yang rusak diperbaiki atau di aspal ulang lagi masih banyak jalan” yang rusak,buat koprasi mending jalan rusak diperbaiki aspal ulang banyak jalan rusak,Negatif,0.9918
bentar lagi bangkrut 😂 udah bnyak yg tutup lagi,bentar bangkrut udah bnyak yg tutup,Negatif,0.9888
promalitas udah ada kandidat dari ordal,promalitas udah kandidat ordal,Negatif,0.9325
@gerindra @Gibran Rakabuming,rakabuming,Netral,0.8971
Indonesia cemas 😹😹😹,indonesia cemas,Negatif,0.994
Mantap kata Bapak. Mantap hanya satu ini. Coba semua KopDes di pantau baru bisa bilang Mantapp. Ini hanya formalitas untuk di pandang publik. Mari turun kelapangan terus dan kirim org” yg memang terpecaya untuk membantu visi misi Presiden Prabowo.,mantap kata bapak mantap satu coba semua kopdes pantau baru bilang mantapp formalitas pandang publik turun kelapangan terus kirim org yg memang terpecaya membantu visi misi presiden prabowo,Positif,0.9663
"[Sticker] gk ada tanda koma, d keyboard, mu?? 😩",sticker gk tanda koma keyboard mu,Netral,0.7612
"Biar ga salah paham, Bojan Hodak ga
dipecat atau kabur, tapi dilepas dari kursi
pelatih kepala karena alasan pribadi
(personal circumstances) dan langsung
naik jabatan jadi Shareholder Group
Technical Advisor. Ini bentuk penghargaan
tertinggi dari manajemen atas sejarah
hattrick juara yang dia berikan. Tugas
barunya itu di level korporat buat kasih
masukan strategis jangka panjang ke
bos-bos pemegang saham, jadi dia kerja
di balik layar dan ga usah tiap hari ada di
lapangan atau mimpin latihan lagi.
💙PER5IB⭐⭐⭐⭐⭐",biar ga salah paham bojan hodak ga dipecat kabur dilepas kursi pelatih kepala alasan pribadi personal circumstances langsung naik jabatan jadi shareholder group technical advisor bentuk penghargaan tertinggi manajemen atas sejarah hattrick juara berikan tugas barunya level korporat buat kasih masukan strategis jangka panjang bos bos pemegang saham jadi kerja balik layar ga usah tiap hari lapangan mimpin latihan perib,Positif,0.7368
"Aqu kata geh apa, nihh macem2 aja, emang boleh di utang, emang harganya murah, wlaupun murah jga dwit2 kita juga",aqu kata geh apa nihh macem aja emang utang emang harganya murah wlaupun murah jga dwit,Negatif,0.7028
sangking larisnya nyampe kosong2 🤣🤣,sangking larisnya nyampe kosong,Positif,0.9674
Kak ojt dulu ih di @indomaret atau @Alfamart 😭🗿 belajar plano rak,kak ojt dulu ih belajar plano rak,Netral,0.9127
"indomerit alfamerit : ada membernya 🫴
kopdes : fotocopy ktp dulu 🫴",indomerit alfamerit membernya kopdes fotocopy ktp dulu,Netral,0.9974
kelamaan Ambi dari petani 😅😅,kelamaan ambi petani,Negatif,0.997
mmg pintar cara Prabowo utk pasang badan tuk th 2029..👍😏,mmg pintar cara prabowo utk pasang badan tuk th,Positif,0.7097
"sy tetap blanja ke warung tetangga dulu. klo tdk ada, baru ke indo april atau alpa.
yuk bantu tetangga dgn tetap blanja di warung tetangga. lope lope tetanggaku.",sy tetap blanja warung tetangga dulu klo tdk baru indo april alpa yuk bantu tetangga dgn tetap blanja warung tetangga lope lope tetanggaku,Netral,0.5128
kosong melompong gini konsepnya ?,kosong melompong gini konsepnya,Negatif,0.9964
gajinya kalau boleh tau brp ya,gajinya kalau tau brp,Netral,0.9621
matamu,matamu,Netral,0.6614
gaada cctvnya kk??,gaada cctvnya kk,Negatif,0.9815
ABS= ASAL BAPAK SENANG🤣🤣🤣,abs asal bapak senang,Positif,0.9863
sisok B aja,sisok aja,Negatif,0.9403
masih lengkapan warung madura,lengkapan warung madura,Positif,0.98
untuk para Pesaing gak usah kuatir....entar juga tutup😏,pesaing gak usah kuatir entar tutup,Positif,0.7285
bkl bnyk pengangguran,bkl bnyk pengangguran,Negatif,0.9959
"bukan turun in harga ,tapi harga resmi memang segitu ,di jual pengecer lebih mahal,aneh yg di salah kan KDMP 😂😀😂😂",bukan turun in harga harga resmi memang segitu jual pengecer lebih mahal aneh yg salah kan kdmp,Negatif,0.997
sejatinya koperasi itu di dirikan utk siapa,sejatinya koperasi dirikan utk siapa,Netral,0.9277
hadeuh cape,hadeuh cape,Negatif,0.9968
vibes nya partai pdi bnget,vibes nya partai pdi bnget,Positif,0.6636
"semoga semua program pemerintah yang menyusahkan rakyat,,gagal total / tidak jalan sesuai harapan mereka,,,,,",semoga semua program pemerintah menyusahkan rakyat gagal total jalan sesuai harapan,Negatif,0.9902
gk sudi beli di situ,gk sudi beli situ,Negatif,0.9958
dengan adanya kdmp insaallah pemrentah bisa mengawal harga sembilan bahan pokok beras pupuk bisa beredar di kdmp,adanya kdmp insaallah pemrentah mengawal harga sembilan bahan pokok beras pupuk beredar kdmp,Netral,0.9929
"Kok pada LDR'an😭.
Apakah mentang2 sekarang lagi musim introvet ya 🤔",kok ldr an mentang sekarang musim introvet,Negatif,0.996
sampean paham dengan luas indonesia tidak mas cobalah kamu ke pasar kalo hari hari besar apa harga nya tetap sama tentu tidak karna pengepul2 nakal yang membuat harga jadi naikk.. dengan adanya kopdes di setiap desa ada jadi tersalurkan menyeluruhh ..,sampean paham luas indonesia mas cobalah kamu pasar kalo hari hari besar apa harga nya tetap sama karna pengepul nakal membuat harga jadi naikk adanya kopdes desa jadi tersalurkan menyeluruhh,Positif,0.9384
cepet tutup yah🥰,cepet tutup yah,Negatif,0.9189
100% bangkrut,bangkrut,Negatif,0.9976
too much gaksieee😭🤣,too much gaksieee,Positif,0.971
ya gak bisa bang...ngambil bahan.nya aja ambil di Indomarco...supliyer Indomart/alfamatr,gak bang ngambil bahan nya aja ambil indomarco supliyer indomart alfamatr,Netral,0.9916
boikot Kopdes 🔥,boikot kopdes,Negatif,0.8609
sama aja wkwk,sama aja wkwk,Netral,0.4316
berarti masalah nya di dana dong bukan masyarakat nya yang ga dukung,berarti masalah nya dana dong bukan masyarakat nya ga dukung,Negatif,0.9958
Betul pak di kampungku banyak seperti itu kalau telat panen beli beras bulan bulan yg kadang harganya 1 karung 50 kg 900 atau 1 juta jadi pas panen ya gitu pak menutupi hutang buka hutang gaya gayaan ya tp hutan untuk makan sehari hari semoga semua program bapak bisa berjam-jam dengan baik,betul pak kampungku banyak kalau telat panen beli beras bulan bulan yg kadang harganya karung kg juta jadi pas panen gitu pak menutupi hutang buka hutang gaya gayaan tp hutan makan sehari hari semoga semua program bapak berjam jam baik,Negatif,0.6344
pelan2,pelan,Positif,0.4678
jangan di beli,jangan beli,Negatif,0.9922
"social distancing ngono, covid ta?",social distancing ngono covid ta,Negatif,0.9677
pada giilllaaaa,giilllaaaa,Positif,0.9864
kok ada isinyaaa,kok isinyaaa,Negatif,0.9677
buzzer buzzer,buzzer buzzer,Negatif,0.9382
"lu yang harusnya cari tahu dulu, pegawai kopdes tu digaji selama 2 tahun",lu harusnya cari tahu dulu pegawai kopdes tu digaji selama tahun,Netral,0.8865
